Campaign_Group,Campaign_Name,Ad_Name,Date,Objective,Ad_Format,Device,Job_Function,Seniority,Company_Size,Industry,Impressions,Clicks,CTR,Conversions,Conversion_Rate,Spend,CPC,Revenue,ROAS,Leads,Lead_Form_Completion_Rate,Engagement_Rate
Holiday_Group,Holiday_Campaign_2024,Finance_Ad,2024-06-04,Lead_Generation,Carousel,Mobile,Finance,Manager,10001+,Technology,425824,15134,3.55,1283,8.48,36441.67,2.41,211512.83,5.8,1283,70.7,3.72
Holiday_Group,Holiday_Campaign_2024,IT_Ad,2024-06-04,Brand_Awareness,Carousel,Mobile,IT,Manager,501-1000,Marketing,221915,5476,2.47,319,5.83,14701.97,2.68,53854.13,3.66,319,68.15,4.12
Black_Group,Black_Friday_2024,IT_Ad,2024-06-04,Brand_Awareness,Sponsored_Content,Desktop,IT,VP,5001-10000,Education,453375,14802,3.26,809,5.47,33689.48,2.28,132126.94,3.92,809,72.22,3.89
Black_Group,Black_Friday_2024,Marketing_Ad,2024-06-04,Conversions,Carousel,Mobile,Marketing,VP,10001+,Marketing,477310,13596,2.85,899,6.61,30365.63,2.23,182586.47,6.01,899,74.1,2.92
Cyber_Group,Cyber_Monday_2024,Marketing_Ad,2024-06-04,Brand_Awareness,Video,Desktop,Marketing,C-Level,1001-5000,Education,491379,11851,2.41,859,7.25,33768.65,2.85,163169.95,4.83,859,70.3,4.21
Cyber_Group,Cyber_Monday_2024,Operations_Ad,2024-06-04,Lead_Generation,Single_Image,Desktop,Operations,C-Level,501-1000,Marketing,166148,4963,2.99,446,8.99,11273.09,2.27,76333.98,6.77,446,73.5,3.49
Summer_Group,Summer_Sale_2024,Marketing_Ad,2024-06-04,Conversions,Carousel,Desktop,Marketing,C-Level,1001-5000,Technology,570158,12684,2.22,698,5.5,29753.95,2.35,151270.76,5.08,698,66.94,4.31
Summer_Group,Summer_Sale_2024,Sales_Ad,2024-06-04,Conversions,Single_Image,Mobile,Sales,Director,501-1000,Education,273206,5683,2.08,433,7.62,11236.56,1.98,85101.64,7.57,433,71.35,2.98
Back_Group,Back_To_School_2024,IT_Ad,2024-06-04,Brand_Awareness,Sponsored_Content,Mobile,IT,Director,1001-5000,Marketing,410554,10523,2.56,720,6.84,27893.53,2.65,139794.57,5.01,720,67.97,3.93
Back_Group,Back_To_School_2024,Operations_Ad,2024-06-04,Brand_Awareness,Single_Image,Desktop,Operations,C-Level,1001-5000,Marketing,435508,15768,3.62,896,5.68,40818.03,2.59,181347.69,4.44,896,75.07,4.02
Spring_Group,Spring_Launch_2024,Marketing_Ad,2024-06-04,Lead_Generation,Carousel,Desktop,Marketing,Manager,5001-10000,Consulting,401957,14351,3.57,958,6.68,28377.43,1.98,160407.94,5.65,958,69.37,2.96
Spring_Group,Spring_Launch_2024,Finance_Ad,2024-06-04,Brand_Awareness,Carousel,Mobile,Finance,VP,501-1000,Education,592848,12241,2.06,740,6.05,31380.17,2.56,127066.46,4.05,740,68.83,3.8
Valentine_Group,Valentine_Day_2024,Finance_Ad,2024-06-04,Conversions,Video,Mobile,Finance,Manager,501-1000,Technology,437382,13572,3.1,803,5.92,38824.08,2.86,148604.27,3.83,803,67.67,3.72
Valentine_Group,Valentine_Day_2024,Sales_Ad,2024-06-04,Conversions,Single_Image,Desktop,Sales,Director,1001-5000,Consulting,478998,13878,2.9,1029,7.41,38396.27,2.77,215342.29,5.61,1029,72.58,4.13
New_Group,New_Year_2024,Marketing_Ad,2024-06-04,Lead_Generation,Sponsored_Content,Desktop,Marketing,Director,501-1000,Marketing,433058,12182,2.81,860,7.06,33315.74,2.73,173458.6,5.21,860,64.43,4.27
New_Group,New_Year_2024,Operations_Ad,2024-06-04,Conversions,Sponsored_Content,Mobile,Operations,Manager,1001-5000,Consulting,401985,13911,3.46,871,6.26,31099.8,2.24,160654.42,5.17,871,76.4,4.12
Q3_Group,Q3_Promo_2024,IT_Ad,2024-06-04,Conversions,Sponsored_Content,Desktop,IT,Director,5001-10000,Technology,201888,5794,2.87,454,7.84,14054.31,2.43,78856.3,5.61,454,65.11,2.92
Q3_Group,Q3_Promo_2024,HR_Ad,2024-06-04,Lead_Generation,Video,Desktop,HR,Director,1001-5000,Education,294349,10450,3.55,864,8.27,27495.18,2.63,186083.42,6.77,864,69.89,3.56
Flash_Group,Flash_Sale_2024,Finance_Ad,2024-06-04,Lead_Generation,Single_Image,Desktop,Finance,Director,5001-10000,Marketing,548051,12411,2.26,1111,8.95,33647.04,2.71,230966.8,6.86,1111,64.58,3.31
Flash_Group,Flash_Sale_2024,Finance_Ad,2024-06-04,Conversions,Video,Mobile,Finance,C-Level,10001+,Marketing,552004,13853,2.51,1020,7.36,29189.88,2.11,195049.55,6.68,1020,73.98,4.32
Holiday_Group,Holiday_Campaign_2024,IT_Ad,2024-06-05,Conversions,Single_Image,Desktop,IT,Manager,10001+,Marketing,437806,10911,2.49,819,7.51,31611.93,2.9,162413.4,5.14,819,68.98,3.53
Holiday_Group,Holiday_Campaign_2024,IT_Ad,2024-06-05,Lead_Generation,Video,Desktop,IT,Director,10001+,Education,242981,8584,3.53,466,5.43,23635.17,2.75,83595.92,3.54,466,64.69,3.62
Black_Group,Black_Friday_2024,HR_Ad,2024-06-05,Brand_Awareness,Video,Desktop,HR,VP,10001+,Marketing,500620,10429,2.08,566,5.43,28331.1,2.72,100170.19,3.54,566,74.86,3.62
Black_Group,Black_Friday_2024,Finance_Ad,2024-06-05,Brand_Awareness,Carousel,Mobile,Finance,Director,501-1000,Technology,310611,8250,2.66,607,7.36,22758.16,2.76,101073.62,4.44,607,70.6,3.68
Cyber_Group,Cyber_Monday_2024,IT_Ad,2024-06-05,Conversions,Sponsored_Content,Mobile,IT,Director,501-1000,Marketing,365013,12844,3.52,983,7.65,27484.7,2.14,200891.07,7.31,983,76.54,3.64
Cyber_Group,Cyber_Monday_2024,Finance_Ad,2024-06-05,Conversions,Video,Mobile,Finance,Manager,5001-10000,Consulting,394396,13148,3.33,723,5.5,37431.66,2.85,126231.36,3.37,723,76.27,3.58
Summer_Group,Summer_Sale_2024,Operations_Ad,2024-06-05,Conversions,Video,Mobile,Operations,C-Level,1001-5000,Technology,219455,6680,3.04,616,9.22,16092.94,2.41,107303.94,6.67,616,69.04,3.12
Summer_Group,Summer_Sale_2024,Sales_Ad,2024-06-05,Conversions,Carousel,Desktop,Sales,C-Level,10001+,Consulting,241899,5854,2.42,362,6.18,16177.13,2.76,72831.34,4.5,362,71.37,3.63
Back_Group,Back_To_School_2024,HR_Ad,2024-06-05,Conversions,Single_Image,Mobile,HR,Director,10001+,Consulting,582502,17462,3.0,1046,5.99,36961.09,2.12,201350.53,5.45,1046,75.9,3.1
Back_Group,Back_To_School_2024,IT_Ad,2024-06-05,Conversions,Video,Mobile,IT,VP,5001-10000,Education,273438,7736,2.83,722,9.33,16592.78,2.14,116782.36,7.04,722,70.27,3.11
Spring_Group,Spring_Launch_2024,Sales_Ad,2024-06-05,Brand_Awareness,Video,Desktop,Sales,Manager,5001-10000,Marketing,391691,11823,3.02,883,7.47,32524.2,2.75,152135.61,4.68,883,64.66,3.92
Spring_Group,Spring_Launch_2024,Operations_Ad,2024-06-05,Conversions,Video,Desktop,Operations,C-Level,1001-5000,Technology,343391,8012,2.33,455,5.68,17680.76,2.21,80837.16,4.57,455,75.15,3.77
Valentine_Group,Valentine_Day_2024,Sales_Ad,2024-06-05,Conversions,Video,Desktop,Sales,Director,501-1000,Marketing,314195,8925,2.84,523,5.86,22054.21,2.47,101947.33,4.62,523,72.54,3.18
Valentine_Group,Valentine_Day_2024,Finance_Ad,2024-06-05,Conversions,Sponsored_Content,Mobile,Finance,Manager,5001-10000,Marketing,238887,6162,2.58,444,7.21,13116.81,2.13,85020.79,6.48,444,72.54,3.75
New_Group,New_Year_2024,Finance_Ad,2024-06-05,Conversions,Sponsored_Content,Desktop,Finance,Director,10001+,Technology,503495,11817,2.35,863,7.3,31624.96,2.68,160886.02,5.09,863,73.1,3.6
New_Group,New_Year_2024,Sales_Ad,2024-06-05,Lead_Generation,Video,Desktop,Sales,VP,1001-5000,Consulting,283791,5673,2.0,389,6.86,15578.04,2.75,74310.81,4.77,389,69.44,3.67
Q3_Group,Q3_Promo_2024,IT_Ad,2024-06-05,Brand_Awareness,Carousel,Mobile,IT,Director,501-1000,Marketing,348874,9088,2.6,826,9.09,23767.88,2.62,173380.1,7.29,826,77.57,4.01
Q3_Group,Q3_Promo_2024,Sales_Ad,2024-06-05,Lead_Generation,Carousel,Mobile,Sales,C-Level,1001-5000,Technology,293707,7845,2.67,480,6.12,16322.93,2.08,84939.35,5.2,480,69.98,3.76
Flash_Group,Flash_Sale_2024,HR_Ad,2024-06-05,Brand_Awareness,Sponsored_Content,Mobile,HR,VP,1001-5000,Education,252899,6892,2.73,364,5.28,15363.31,2.23,79302.38,5.16,364,77.24,3.14
Flash_Group,Flash_Sale_2024,IT_Ad,2024-06-05,Lead_Generation,Carousel,Desktop,IT,Manager,10001+,Education,452122,11107,2.46,888,7.99,23886.05,2.15,183205.93,7.67,888,69.67,2.97
Holiday_Group,Holiday_Campaign_2024,Marketing_Ad,2024-06-06,Lead_Generation,Single_Image,Desktop,Marketing,Director,5001-10000,Marketing,372093,10619,2.85,836,7.87,30108.6,2.84,168870.58,5.61,836,66.78,3.92
Holiday_Group,Holiday_Campaign_2024,Operations_Ad,2024-06-06,Conversions,Carousel,Mobile,Operations,C-Level,1001-5000,Marketing,392163,13091,3.34,950,7.26,28434.2,2.17,164768.18,5.79,950,67.96,4.08
Black_Group,Black_Friday_2024,IT_Ad,2024-06-06,Lead_Generation,Single_Image,Mobile,IT,VP,501-1000,Technology,438121,13949,3.18,1142,8.19,28276.95,2.03,216420.65,7.65,1142,70.42,3.47
Black_Group,Black_Friday_2024,IT_Ad,2024-06-06,Brand_Awareness,Single_Image,Mobile,IT,VP,1001-5000,Consulting,357359,8069,2.26,730,9.05,22252.95,2.76,124895.42,5.61,730,78.09,4.31
Cyber_Group,Cyber_Monday_2024,Marketing_Ad,2024-06-06,Conversions,Carousel,Desktop,Marketing,Manager,5001-10000,Consulting,446140,10757,2.41,621,5.77,25612.77,2.38,104546.3,4.08,621,73.9,3.71
Cyber_Group,Cyber_Monday_2024,Marketing_Ad,2024-06-06,Lead_Generation,Video,Mobile,Marketing,VP,501-1000,Education,314017,7461,2.38,695,9.32,16341.14,2.19,137151.37,8.39,695,75.54,3.43
Summer_Group,Summer_Sale_2024,Marketing_Ad,2024-06-06,Lead_Generation,Carousel,Desktop,Marketing,Manager,5001-10000,Marketing,412235,13082,3.17,1064,8.13,30129.44,2.3,227973.17,7.57,1064,66.93,3.67
Summer_Group,Summer_Sale_2024,Sales_Ad,2024-06-06,Lead_Generation,Single_Image,Desktop,Sales,Director,10001+,Marketing,676529,22595,3.34,1206,5.34,58021.37,2.57,222700.47,3.84,1206,73.14,3.47
Back_Group,Back_To_School_2024,IT_Ad,2024-06-06,Lead_Generation,Carousel,Mobile,IT,C-Level,1001-5000,Technology,390822,12606,3.23,902,7.16,27018.95,2.14,165414.55,6.12,902,72.33,3.52
Back_Group,Back_To_School_2024,Operations_Ad,2024-06-06,Conversions,Video,Mobile,Operations,C-Level,1001-5000,Technology,243972,7750,3.18,568,7.33,16000.09,2.06,101773.74,6.36,568,77.62,3.32
Spring_Group,Spring_Launch_2024,HR_Ad,2024-06-06,Lead_Generation,Carousel,Mobile,HR,Manager,10001+,Education,245109,7715,3.15,497,6.44,16092.76,2.09,99980.07,6.21,497,64.34,3.33
Spring_Group,Spring_Launch_2024,Finance_Ad,2024-06-06,Lead_Generation,Video,Desktop,Finance,Manager,1001-5000,Education,159414,3526,2.21,247,7.01,8998.75,2.55,42087.19,4.68,247,65.01,2.96
Valentine_Group,Valentine_Day_2024,Marketing_Ad,2024-06-06,Brand_Awareness,Video,Desktop,Marketing,VP,501-1000,Education,264806,5617,2.12,296,5.27,11484.44,2.04,59564.3,5.19,296,77.27,4.11
Valentine_Group,Valentine_Day_2024,HR_Ad,2024-06-06,Lead_Generation,Carousel,Desktop,HR,Manager,501-1000,Education,332174,7650,2.3,437,5.71,15353.2,2.01,84718.12,5.52,437,78.07,4.12
New_Group,New_Year_2024,HR_Ad,2024-06-06,Conversions,Sponsored_Content,Mobile,HR,VP,501-1000,Technology,258254,6899,2.67,472,6.84,14521.49,2.1,92232.06,6.35,472,72.36,3.68
New_Group,New_Year_2024,Finance_Ad,2024-06-06,Conversions,Video,Mobile,Finance,Manager,501-1000,Marketing,271846,7657,2.82,487,6.36,18555.92,2.42,83653.83,4.51,487,63.92,3.34
Q3_Group,Q3_Promo_2024,HR_Ad,2024-06-06,Lead_Generation,Single_Image,Desktop,HR,C-Level,1001-5000,Technology,436684,12659,2.9,1060,8.37,31393.13,2.48,185258.6,5.9,1060,73.54,3.75
Q3_Group,Q3_Promo_2024,HR_Ad,2024-06-06,Conversions,Video,Desktop,HR,Director,501-1000,Technology,341481,7946,2.33,724,9.11,19955.87,2.51,120076.85,6.02,724,77.43,3.55
Flash_Group,Flash_Sale_2024,IT_Ad,2024-06-06,Conversions,Video,Mobile,IT,Director,5001-10000,Marketing,453046,14993,3.31,784,5.23,31612.51,2.11,132358.04,4.19,784,68.74,4.26
Flash_Group,Flash_Sale_2024,Finance_Ad,2024-06-06,Lead_Generation,Video,Mobile,Finance,C-Level,501-1000,Consulting,389728,13660,3.51,748,5.48,34287.54,2.51,127314.58,3.71,748,73.69,3.76
Holiday_Group,Holiday_Campaign_2024,Sales_Ad,2024-06-07,Lead_Generation,Single_Image,Desktop,Sales,Manager,501-1000,Marketing,323100,11241,3.48,814,7.24,23496.45,2.09,155972.8,6.64,814,76.26,2.91
Holiday_Group,Holiday_Campaign_2024,Finance_Ad,2024-06-07,Lead_Generation,Carousel,Mobile,Finance,Manager,1001-5000,Education,376075,8449,2.25,656,7.76,17080.7,2.02,114529.2,6.71,656,72.09,4.01
