Campaign_Name,Ad_Squad_Name,Ad_Name,Date,Objective,Placement,Device,Age,Gender,Impressions,Swipes,Swipe_Up_Rate,Video_Views,Video_View_Rate,Quartile_1,Quartile_2,Quartile_3,Completion_Rate,Spend,eCPM,eCPSwipe,Screen_Time_Millis,Conversions,Conversion_Rate,Revenue,ROAS,Frequency,Reach
New_Year_2024,Stories_Squad,Stories_Ad,2024-06-01,App_Installs,Stories,Mobile,25-34,Female,2168320,45165,2.08,1805382,83.26,1624843,1444305,1083229,60.0,97872.34,45.14,2.17,9122,3566,7.9,526109.61,5.38,1.5,1441487
Q3_Promo_2024,Spotlight_Squad,Spotlight_Ad,2024-06-01,Video_Views,Spotlight,Mobile,18-24,Female,1808800,34663,1.92,1463602,80.92,1317241,1170881,878161,60.0,70473.6,38.96,2.03,9174,3778,10.9,613937.78,8.71,1.71,1058548
Q3_Promo_2024,Discover_Squad,Discover_Ad,2024-06-01,Engagement,Discover,Mobile,25-34,Male,1774356,27128,1.53,1462302,82.41,1316071,1169841,877381,60.0,59536.13,33.55,2.19,8904,2193,8.08,321738.0,5.4,1.63,1086635
Flash_Sale_2024,Camera_Squad,Camera_Ad,2024-06-01,App_Installs,Camera,Mobile,25-34,Female,1626706,31190,1.92,1297056,79.74,1167350,1037644,778233,60.0,60899.77,37.44,1.95,9168,3084,9.89,507788.02,8.34,1.65,985337
Flash_Sale_2024,Discover_Squad,Discover_Ad,2024-06-01,App_Installs,Discover,Mobile,35-44,Female,1713574,21935,1.28,1433577,83.66,1290219,1146861,860146,60.0,48521.48,28.32,2.21,9508,1836,8.37,334788.8,6.9,1.67,1023872
Holiday_Campaign_2024,Camera_Squad,Camera_Ad,2024-06-02,Conversions,Camera,Mobile,35-44,Female,688007,10701,1.56,579136,84.18,521222,463308,347481,60.0,20531.55,29.84,1.92,10134,1147,10.72,189868.58,9.25,1.51,455577
Holiday_Campaign_2024,Spotlight_Squad,Spotlight_Ad,2024-06-02,App_Installs,Spotlight,Mobile,18-24,Male,1927059,28969,1.5,1491267,77.39,1342140,1193013,894760,60.0,51448.83,26.7,1.78,7329,3005,10.37,414816.47,8.06,1.66,1159659
Black_Friday_2024,Stories_Squad,Stories_Ad,2024-06-02,Video_Views,Stories,Mobile,18-24,Male,2373146,36126,1.52,1838236,77.46,1654412,1470588,1102941,60.0,69313.16,29.21,1.92,7301,3844,10.64,584070.57,8.43,1.51,1566671
Black_Friday_2024,Camera_Squad,Camera_Ad,2024-06-02,Conversions,Camera,Mobile,18-24,Male,2585702,41987,1.62,2359675,91.26,2123707,1887740,1415805,60.0,92545.85,35.79,2.2,7262,4509,10.74,617567.16,6.67,1.53,1695320
Cyber_Monday_2024,Camera_Squad,Camera_Ad,2024-06-02,Video_Views,Camera,Mobile,35-44,Female,1398231,29541,2.11,1270164,90.84,1143147,1016131,762098,60.0,57020.14,40.78,1.93,8591,2753,9.32,442987.28,7.77,1.57,888209
Cyber_Monday_2024,Stories_Squad,Stories_Ad,2024-06-02,Conversions,Stories,Mobile,18-24,Male,2040943,46280,2.27,1726467,84.59,1553820,1381173,1035880,60.0,97848.22,47.94,2.11,9185,5184,11.2,834126.17,8.52,1.59,1286143
Summer_Sale_2024,Stories_Squad,Stories_Ad,2024-06-02,Video_Views,Stories,Mobile,18-24,Male,834851,11253,1.35,675992,80.97,608392,540793,405595,60.0,24932.3,29.86,2.22,9217,754,6.7,127757.77,5.12,1.44,579682
Summer_Sale_2024,Spotlight_Squad,Spotlight_Ad,2024-06-02,Engagement,Spotlight,Mobile,18-24,Female,1715429,34723,2.02,1403685,81.83,1263316,1122948,842211,60.0,53737.58,31.33,1.55,8808,4080,11.75,639541.78,11.9,1.49,1151911
Back_To_School_2024,Camera_Squad,Camera_Ad,2024-06-02,App_Installs,Camera,Mobile,25-34,Male,1789970,40971,2.29,1572598,87.86,1415338,1258078,943558,60.0,65157.51,36.4,1.59,9087,4858,11.86,832521.61,12.78,1.55,1157039
Back_To_School_2024,Spotlight_Squad,Spotlight_Ad,2024-06-02,App_Installs,Spotlight,Mobile,25-34,Male,1365124,25462,1.87,1036440,75.92,932796,829152,621864,60.0,47949.86,35.12,1.88,7828,2416,9.49,429982.92,8.97,1.47,927270
Spring_Launch_2024,Stories_Squad,Stories_Ad,2024-06-02,Conversions,Stories,Mobile,18-24,Female,2958202,55587,1.88,2507546,84.77,2256791,2006036,1504527,60.0,89219.7,30.16,1.61,10233,6211,11.17,1122242.77,12.58,1.46,2028583
Spring_Launch_2024,Spotlight_Squad,Spotlight_Ad,2024-06-02,Engagement,Spotlight,Mobile,18-24,Male,732715,16046,2.19,606802,82.82,546121,485441,364081,60.0,25694.44,35.07,1.6,7055,1625,10.13,274361.38,10.68,1.61,455968
Valentine_Day_2024,Stories_Squad,Stories_Ad,2024-06-02,Video_Views,Stories,Mobile,25-34,Male,849213,14366,1.69,657983,77.48,592184,526386,394789,60.0,23324.38,27.47,1.62,8072,1235,8.6,224974.71,9.65,1.46,581160
Valentine_Day_2024,Discover_Squad,Discover_Ad,2024-06-02,Video_Views,Discover,Mobile,25-34,Female,2447362,47902,1.96,2013211,82.26,1811889,1610568,1207926,60.0,87495.02,35.75,1.83,8797,4170,8.71,613755.69,7.01,1.57,1554716
New_Year_2024,Stories_Squad,Stories_Ad,2024-06-02,Video_Views,Stories,Mobile,35-44,Male,1477553,30772,2.08,1191735,80.66,1072561,953388,715041,60.0,61864.97,41.87,2.01,10096,2963,9.63,539765.5,8.72,1.57,938374
New_Year_2024,Camera_Squad,Camera_Ad,2024-06-02,Engagement,Camera,Mobile,25-34,Female,1274482,24835,1.95,1090509,85.56,981458,872407,654305,60.0,38311.49,30.06,1.54,8108,2902,11.69,409567.77,10.69,1.52,838889
Q3_Promo_2024,Camera_Squad,Camera_Ad,2024-06-02,Video_Views,Camera,Mobile,35-44,Male,1726153,33124,1.92,1549859,89.79,1394873,1239887,929915,60.0,60239.3,34.9,1.82,7621,3939,11.89,647788.16,10.75,1.65,1045827
Q3_Promo_2024,Spotlight_Squad,Spotlight_Ad,2024-06-02,Conversions,Spotlight,Mobile,35-44,Male,1201841,15797,1.31,993606,82.67,894245,794884,596163,60.0,25112.21,20.89,1.59,7528,1395,8.83,239934.47,9.55,1.55,774761
Flash_Sale_2024,Stories_Squad,Stories_Ad,2024-06-02,App_Installs,Stories,Mobile,18-24,Male,2007510,33263,1.66,1522791,75.85,1370511,1218232,913674,60.0,63612.49,31.69,1.91,8400,3257,9.79,452668.58,7.12,1.57,1279387
Flash_Sale_2024,Discover_Squad,Discover_Ad,2024-06-02,App_Installs,Discover,Mobile,35-44,Female,1253228,23339,1.86,1008132,80.44,907318,806505,604879,60.0,41733.47,33.3,1.79,8719,2530,10.84,363766.56,8.72,1.5,834004
Holiday_Campaign_2024,Stories_Squad,Stories_Ad,2024-06-03,Engagement,Stories,Mobile,25-34,Male,2058359,42108,2.05,1725928,83.85,1553335,1380742,1035556,60.0,77194.39,37.5,1.83,9150,4263,10.12,743935.85,9.64,1.41,1464413
Holiday_Campaign_2024,Discover_Squad,Discover_Ad,2024-06-03,Engagement,Discover,Mobile,25-34,Female,2696274,34004,1.26,2251440,83.5,2026296,1801152,1350864,60.0,55727.09,20.67,1.64,8394,2366,6.96,382190.88,6.86,1.47,1839094
Black_Friday_2024,Stories_Squad,Stories_Ad,2024-06-03,Conversions,Stories,Mobile,25-34,Female,2409818,43109,1.79,1974981,81.96,1777482,1579984,1184988,60.0,73060.7,30.32,1.69,7363,3686,8.55,563184.64,7.71,1.49,1612178
Black_Friday_2024,Spotlight_Squad,Spotlight_Ad,2024-06-03,Video_Views,Spotlight,Mobile,35-44,Male,1789621,35305,1.97,1499139,83.77,1349225,1199311,899483,60.0,63490.68,35.48,1.8,10055,2570,7.28,400224.3,6.3,1.45,1230659
Cyber_Monday_2024,Discover_Squad,Discover_Ad,2024-06-03,App_Installs,Discover,Mobile,18-24,Male,1233472,16339,1.32,1058674,85.83,952806,846939,635204,60.0,27095.44,21.97,1.66,9217,1336,8.18,194256.96,7.17,1.46,845974
Cyber_Monday_2024,Spotlight_Squad,Spotlight_Ad,2024-06-03,Engagement,Spotlight,Mobile,18-24,Male,1741586,34507,1.98,1369416,78.63,1232474,1095532,821649,60.0,62424.44,35.84,1.81,7959,3428,9.93,570955.73,9.15,1.45,1198107
Summer_Sale_2024,Discover_Squad,Discover_Ad,2024-06-03,Conversions,Discover,Mobile,25-34,Female,1767957,30681,1.74,1517346,85.82,1365611,1213876,910407,60.0,55754.51,31.54,1.82,8966,3582,11.67,517980.51,9.29,1.49,1189394
Summer_Sale_2024,Camera_Squad,Camera_Ad,2024-06-03,Conversions,Camera,Mobile,35-44,Female,1404865,18702,1.33,1235800,87.97,1112220,988640,741480,60.0,29858.0,21.25,1.6,7831,1396,7.46,255418.92,8.55,1.47,952841
Back_To_School_2024,Spotlight_Squad,Spotlight_Ad,2024-06-03,Engagement,Spotlight,Mobile,25-34,Female,1104222,20282,1.84,979646,88.72,881681,783716,587787,60.0,40963.5,37.1,2.02,7100,2237,11.03,326942.73,7.98,1.5,737872
Back_To_School_2024,Camera_Squad,Camera_Ad,2024-06-03,Conversions,Camera,Mobile,35-44,Female,1117439,22690,2.03,839256,75.11,755330,671404,503553,60.0,43315.8,38.76,1.91,9444,2513,11.08,387598.1,8.95,1.69,660215
Spring_Launch_2024,Camera_Squad,Camera_Ad,2024-06-03,App_Installs,Camera,Mobile,25-34,Female,2755780,56067,2.03,2323183,84.3,2090864,1858546,1393909,60.0,92522.96,33.57,1.65,9946,3658,6.52,619461.31,6.7,1.63,1694896
Spring_Launch_2024,Stories_Squad,Stories_Ad,2024-06-03,Engagement,Stories,Mobile,35-44,Female,2352241,43118,1.83,2051515,87.22,1846363,1641212,1230909,60.0,88684.18,37.7,2.06,10255,4306,9.99,779578.6,8.79,1.4,1676439
Valentine_Day_2024,Discover_Squad,Discover_Ad,2024-06-03,Conversions,Discover,Mobile,25-34,Male,2316654,46844,2.02,1985632,85.71,1787068,1588505,1191379,60.0,72925.57,31.48,1.56,8488,3718,7.94,506663.14,6.95,1.66,1396625
Valentine_Day_2024,Stories_Squad,Stories_Ad,2024-06-03,App_Installs,Stories,Mobile,18-24,Male,1386196,30964,2.23,1220886,88.07,1098797,976708,732531,60.0,47467.59,34.24,1.53,10250,2419,7.81,424088.07,8.93,1.45,955637
New_Year_2024,Discover_Squad,Discover_Ad,2024-06-03,Engagement,Discover,Mobile,35-44,Female,1382761,32002,2.31,1127064,81.51,1014357,901651,676238,60.0,53291.11,38.54,1.67,8818,3400,10.62,511241.34,9.59,1.45,953872
New_Year_2024,Camera_Squad,Camera_Ad,2024-06-03,App_Installs,Camera,Mobile,25-34,Female,2017100,31425,1.56,1676880,83.13,1509192,1341504,1006128,60.0,59625.09,29.56,1.9,9760,3659,11.64,544447.07,9.13,1.41,1425624
Q3_Promo_2024,Stories_Squad,Stories_Ad,2024-06-03,Conversions,Stories,Mobile,35-44,Male,1249183,26355,2.11,1058683,84.75,952814,846946,635209,60.0,43765.62,35.04,1.66,7701,1972,7.48,350196.41,8.0,1.47,848530
Q3_Promo_2024,Spotlight_Squad,Spotlight_Ad,2024-06-03,Engagement,Spotlight,Mobile,18-24,Male,2499535,43575,1.74,1932982,77.33,1739683,1546385,1159789,60.0,81641.0,32.66,1.87,9013,3483,7.99,489778.48,6.0,1.55,1613961
Flash_Sale_2024,Stories_Squad,Stories_Ad,2024-06-03,Engagement,Stories,Mobile,35-44,Male,1804534,30573,1.69,1425170,78.98,1282653,1140136,855102,60.0,45941.48,25.46,1.5,9755,2180,7.13,311028.53,6.77,1.64,1098552
Flash_Sale_2024,Camera_Squad,Camera_Ad,2024-06-03,Conversions,Camera,Mobile,35-44,Male,2172923,30830,1.42,1659351,76.36,1493415,1327480,995610,60.0,52425.67,24.13,1.7,8366,3343,10.84,513130.69,9.79,1.65,1316327
Holiday_Campaign_2024,Camera_Squad,Camera_Ad,2024-06-04,Conversions,Camera,Mobile,18-24,Male,2202234,28451,1.29,1874516,85.12,1687064,1499612,1124709,60.0,50425.83,22.9,1.77,9148,1847,6.49,310936.34,6.17,1.48,1492256
Holiday_Campaign_2024,Discover_Squad,Discover_Ad,2024-06-04,Video_Views,Discover,Mobile,35-44,Male,1750743,32073,1.83,1420322,81.13,1278289,1136257,852193,60.0,64096.61,36.61,2.0,9351,3098,9.66,433491.86,6.76,1.5,1170550
Black_Friday_2024,Stories_Squad,Stories_Ad,2024-06-04,Video_Views,Stories,Mobile,18-24,Female,1311496,28929,2.21,1163218,88.69,1046896,930574,697930,60.0,46564.79,35.51,1.61,9793,3307,11.43,519734.32,11.16,1.47,890620
Black_Friday_2024,Spotlight_Squad,Spotlight_Ad,2024-06-04,Video_Views,Spotlight,Mobile,35-44,Female,1804908,30521,1.69,1622548,89.9,1460293,1298038,973528,60.0,50385.03,27.92,1.65,10226,2398,7.86,367751.94,7.3,1.44,1257534
Cyber_Monday_2024,Camera_Squad,Camera_Ad,2024-06-04,App_Installs,Camera,Mobile,35-44,Female,666249,14610,2.19,526244,78.99,473619,420995,315746,60.0,32116.79,48.21,2.2,7473,1422,9.73,193875.69,6.04,1.7,392711
Cyber_Monday_2024,Discover_Squad,Discover_Ad,2024-06-04,App_Installs,Discover,Mobile,25-34,Female,1005758,21010,2.09,788493,78.4,709643,630794,473095,60.0,46162.43,45.9,2.2,10066,2090,9.95,353713.36,7.66,1.63,616847
Summer_Sale_2024,Discover_Squad,Discover_Ad,2024-06-04,Conversions,Discover,Mobile,18-24,Male,1990691,43666,2.19,1803119,90.58,1622807,1442495,1081871,60.0,68685.5,34.5,1.57,8991,3044,6.97,531371.52,7.74,1.43,1388698
Summer_Sale_2024,Stories_Squad,Stories_Ad,2024-06-04,Conversions,Stories,Mobile,18-24,Female,2252116,44250,1.96,1796603,79.77,1616942,1437282,1077961,60.0,73295.94,32.55,1.66,10288,4042,9.13,591649.3,8.07,1.54,1459104
Back_To_School_2024,Spotlight_Squad,Spotlight_Ad,2024-06-04,Engagement,Spotlight,Mobile,35-44,Male,1590667,36218,2.28,1401139,88.08,1261025,1120911,840683,60.0,63110.43,39.68,1.74,9337,3955,10.92,713086.32,11.3,1.41,1126374
Back_To_School_2024,Stories_Squad,Stories_Ad,2024-06-04,Conversions,Stories,Mobile,18-24,Male,1140408,14858,1.3,879750,77.14,791775,703800,527850,60.0,32605.95,28.59,2.19,9259,1335,8.99,236347.5,7.25,1.55,736082
Spring_Launch_2024,Spotlight_Squad,Spotlight_Ad,2024-06-04,Video_Views,Spotlight,Mobile,35-44,Male,880001,13462,1.53,721091,81.94,648981,576872,432654,60.0,26206.03,29.78,1.95,9804,994,7.38,171662.28,6.55,1.58,556488
Spring_Launch_2024,Discover_Squad,Discover_Ad,2024-06-04,Engagement,Discover,Mobile,18-24,Female,1817327,36239,1.99,1446033,79.57,1301429,1156826,867619,60.0,74963.4,41.25,2.07,7031,3138,8.66,526985.62,7.03,1.42,1283868
Valentine_Day_2024,Discover_Squad,Discover_Ad,2024-06-04,App_Installs,Discover,Mobile,18-24,Female,1342257,28078,2.09,1146691,85.43,1032021,917352,688014,60.0,47642.89,35.49,1.7,8437,2574,9.17,355245.24,7.46,1.64,818800
Valentine_Day_2024,Camera_Squad,Camera_Ad,2024-06-04,Video_Views,Camera,Mobile,35-44,Female,1544851,27468,1.78,1304373,84.43,1173935,1043498,782623,60.0,58412.84,37.81,2.13,7665,2237,8.14,379470.29,6.5,1.43,1076787
New_Year_2024,Camera_Squad,Camera_Ad,2024-06-04,App_Installs,Camera,Mobile,35-44,Female,1025639,23776,2.32,933551,91.02,840195,746840,560130,60.0,39116.04,38.14,1.65,8494,1618,6.81,241088.86,6.16,1.57,653029
New_Year_2024,Discover_Squad,Discover_Ad,2024-06-04,App_Installs,Discover,Mobile,35-44,Female,1468344,32765,2.23,1177373,80.18,1059635,941898,706423,60.0,69101.01,47.06,2.11,7167,2279,6.96,314524.76,4.55,1.54,955195
Q3_Promo_2024,Spotlight_Squad,Spotlight_Ad,2024-06-04,Conversions,Spotlight,Mobile,18-24,Female,1583977,35299,2.23,1246726,78.71,1122053,997380,748035,60.0,70683.5,44.62,2.0,9865,2862,8.11,395402.94,5.59,1.52,1041258
Q3_Promo_2024,Stories_Squad,Stories_Ad,2024-06-04,Engagement,Stories,Mobile,35-44,Female,2260748,43557,1.93,2026543,89.64,1823888,1621234,1215925,60.0,89917.94,39.77,2.06,9555,3271,7.51,560003.15,6.23,1.54,1470042
Flash_Sale_2024,Stories_Squad,Stories_Ad,2024-06-04,Engagement,Stories,Mobile,18-24,Male,2326927,32534,1.4,1958353,84.16,1762517,1566682,1175011,60.0,59998.52,25.78,1.84,8538,3025,9.3,539016.64,8.98,1.43,1631940
Flash_Sale_2024,Camera_Squad,Camera_Ad,2024-06-04,Video_Views,Camera,Mobile,18-24,Female,2211029,40161,1.82,1842343,83.33,1658108,1473874,1105405,60.0,87682.97,39.66,2.18,9142,4026,10.02,601154.01,6.86,1.53,1446233
Holiday_Campaign_2024,Spotlight_Squad,Spotlight_Ad,2024-06-05,Engagement,Spotlight,Mobile,35-44,Male,2617195,49519,1.89,2032262,77.65,1829035,1625809,1219357,60.0,74519.11,28.47,1.5,9796,4112,8.3,643614.61,8.64,1.69,1552087
Holiday_Campaign_2024,Discover_Squad,Discover_Ad,2024-06-05,Engagement,Discover,Mobile,35-44,Female,1203571,27040,2.25,929917,77.26,836925,743933,557950,60.0,41158.45,34.2,1.52,6995,2461,9.1,357037.47,8.67,1.41,850758
Black_Friday_2024,Spotlight_Squad,Spotlight_Ad,2024-06-05,App_Installs,Spotlight,Mobile,25-34,Female,923180,20872,2.26,748526,81.08,673673,598820,449115,60.0,32328.66,35.02,1.55,8583,1693,8.11,270718.32,8.37,1.64,562280
Black_Friday_2024,Camera_Squad,Camera_Ad,2024-06-05,Video_Views,Camera,Mobile,18-24,Female,1573249,34649,2.2,1188081,75.52,1069272,950464,712848,60.0,55406.12,35.22,1.6,9897,2757,7.96,453674.17,8.19,1.58,994182
Cyber_Monday_2024,Stories_Squad,Stories_Ad,2024-06-05,Video_Views,Stories,Mobile,25-34,Female,1150378,15742,1.37,978599,85.07,880739,782879,587159,60.0,24614.65,21.4,1.56,9105,1235,7.85,178504.17,7.25,1.65,698852
Cyber_Monday_2024,Camera_Squad,Camera_Ad,2024-06-05,Video_Views,Camera,Mobile,35-44,Female,2151270,31195,1.45,1960600,91.14,1764540,1568480,1176360,60.0,55906.41,25.99,1.79,10367,2176,6.98,308529.19,5.52,1.51,1421787
Summer_Sale_2024,Discover_Squad,Discover_Ad,2024-06-05,App_Installs,Discover,Mobile,18-24,Male,2093825,47843,2.28,1718456,82.07,1546610,1374764,1031073,60.0,86238.08,41.19,1.8,9966,4401,9.2,745865.73,8.65,1.58,1324951
Summer_Sale_2024,Camera_Squad,Camera_Ad,2024-06-05,Video_Views,Camera,Mobile,18-24,Male,1116855,19376,1.73,929027,83.18,836124,743221,557416,60.0,37380.25,33.47,1.93,9350,1543,7.96,241508.88,6.46,1.54,723710
Back_To_School_2024,Spotlight_Squad,Spotlight_Ad,2024-06-05,Video_Views,Spotlight,Mobile,35-44,Male,1779192,36595,2.06,1429941,80.37,1286946,1143952,857964,60.0,81226.02,45.65,2.22,8052,4071,11.12,604466.65,7.44,1.64,1085954
Back_To_School_2024,Camera_Squad,Camera_Ad,2024-06-05,Video_Views,Camera,Mobile,25-34,Male,1589337,34629,2.18,1392590,87.62,1253331,1114072,835554,60.0,73064.49,45.97,2.11,7339,2749,7.94,452172.4,6.19,1.61,988285
Spring_Launch_2024,Discover_Squad,Discover_Ad,2024-06-05,Engagement,Discover,Mobile,35-44,Male,944644,13361,1.41,810351,85.78,729315,648280,486210,60.0,26180.79,27.71,1.96,10437,1458,10.91,208054.59,7.95,1.46,648831
Spring_Launch_2024,Spotlight_Squad,Spotlight_Ad,2024-06-05,App_Installs,Spotlight,Mobile,18-24,Female,2014877,41747,2.07,1726587,85.69,1553928,1381269,1035952,60.0,74815.56,37.13,1.79,9731,4371,10.47,746394.35,9.98,1.5,1344113
Valentine_Day_2024,Spotlight_Squad,Spotlight_Ad,2024-06-05,Conversions,Spotlight,Mobile,25-34,Female,1491679,20748,1.39,1252719,83.98,1127447,1002175,751631,60.0,34776.39,23.31,1.68,9774,1776,8.56,243020.59,6.99,1.58,946862
Valentine_Day_2024,Stories_Squad,Stories_Ad,2024-06-05,App_Installs,Stories,Mobile,25-34,Female,2506194,31843,1.27,2067595,82.5,1860835,1654076,1240557,60.0,53995.35,21.54,1.7,7103,2890,9.08,449178.97,8.32,1.42,1769767
New_Year_2024,Camera_Squad,Camera_Ad,2024-06-05,Conversions,Camera,Mobile,35-44,Female,2677570,58347,2.18,2426503,90.62,2183852,1941202,1455901,60.0,94023.32,35.12,1.61,7396,5468,9.37,755088.69,8.03,1.54,1740136
New_Year_2024,Stories_Squad,Stories_Ad,2024-06-05,Video_Views,Stories,Mobile,18-24,Female,2830487,39145,1.38,2355547,83.22,2119992,1884437,1413328,60.0,73029.35,25.8,1.87,7797,4620,11.8,773568.52,10.59,1.61,1761749
Q3_Promo_2024,Camera_Squad,Camera_Ad,2024-06-05,Engagement,Camera,Mobile,25-34,Male,1165386,24205,2.08,1004173,86.17,903755,803338,602503,60.0,46747.34,40.11,1.93,10314,1613,6.66,278429.26,5.96,1.5,778996
Q3_Promo_2024,Discover_Squad,Discover_Ad,2024-06-05,Engagement,Discover,Mobile,35-44,Male,1540408,24465,1.59,1248242,81.03,1123417,998593,748945,60.0,39391.64,25.57,1.61,7511,2551,10.43,433595.1,11.01,1.64,941319
Flash_Sale_2024,Discover_Squad,Discover_Ad,2024-06-05,Video_Views,Discover,Mobile,18-24,Female,1086657,24394,2.24,853775,78.57,768397,683020,512265,60.0,42315.81,38.94,1.73,9989,1948,7.99,303603.55,7.17,1.48,736564
Flash_Sale_2024,Camera_Squad,Camera_Ad,2024-06-05,Video_Views,Camera,Mobile,35-44,Male,1932118,38667,2.0,1556369,80.55,1400732,1245095,933821,60.0,85283.55,44.14,2.21,7484,3128,8.09,426487.98,5.0,1.53,1259805
Holiday_Campaign_2024,Stories_Squad,Stories_Ad,2024-06-06,Engagement,Stories,Mobile,35-44,Female,1115659,22470,2.01,969011,86.86,872109,775208,581406,60.0,40916.01,36.67,1.82,9036,2286,10.17,369955.94,9.04,1.5,744004
Holiday_Campaign_2024,Spotlight_Squad,Spotlight_Ad,2024-06-06,Conversions,Spotlight,Mobile,25-34,Female,2619949,38659,1.48,2073965,79.16,1866568,1659172,1244379,60.0,69801.64,26.64,1.81,7525,3441,8.9,595884.03,8.54,1.58,1657802
Black_Friday_2024,Stories_Squad,Stories_Ad,2024-06-06,Engagement,Stories,Mobile,18-24,Male,1019368,15208,1.49,885275,86.85,796747,708220,531165,60.0,27801.0,27.27,1.83,10382,1574,10.35,245510.23,8.83,1.43,714236
Black_Friday_2024,Spotlight_Squad,Spotlight_Ad,2024-06-06,Conversions,Spotlight,Mobile,35-44,Female,2630316,57680,2.19,2186626,83.13,1967963,1749300,1311975,60.0,125259.01,47.62,2.17,9671,6362,11.03,1168097.37,9.33,1.5,1751796
Cyber_Monday_2024,Spotlight_Squad,Spotlight_Ad,2024-06-06,App_Installs,Spotlight,Mobile,35-44,Male,1247825,19214,1.54,1005608,80.59,905047,804486,603364,60.0,41148.01,32.98,2.14,8305,1296,6.75,213050.78,5.18,1.58,790400
