Advertiser,Campaign,Ad_Group,Creative,Date,Channel,Device,Environment,Data_Provider,Audience_Segment,Impressions,Clicks,CTR,Conversions,Post_Click_Conv,Post_View_Conv,Conversion_Rate,Media_Cost,Revenue,ROAS,eCPM,eCPC,eCPA,Viewable_Impressions,Measurable_Impressions,Viewability_Rate,Video_Completions,Video_Completion_Rate,Frequency,Reach,Unique_Reach
Premium_Retail_2024,Q3_Promo_2024,Display_AG,Display_Creative,2024-06-01,Display,Mobile,CTV,Experian,In_Market_Shoppers,2386253,32999,1.38,2038,1711,327,6.18,54930.92,335509.26,6.11,23.02,1.66,26.95,2147627,2386253,90.0,0,0.0,1.7,1403930,1263537
Premium_Retail_2024,Flash_Sale_2024,Video_AG,Video_Creative,2024-06-01,Video,Desktop,Web,Oracle,High_Intent_Buyers,2611825,44339,1.7,3162,2656,506,7.13,82931.28,524963.39,6.33,31.75,1.87,26.23,2350642,2611825,90.0,1567095,60.0,1.67,1567987,1411188
Premium_Retail_2024,Flash_Sale_2024,Display_AG,Display_Creative,2024-06-01,Display,Mobile,CTV,Experian,In_Market_Shoppers,3128713,42725,1.37,2707,2273,434,6.34,92614.83,509475.66,5.5,29.6,2.17,34.21,2815841,3128713,90.0,0,0.0,1.56,2009679,1808711
Premium_Retail_2024,Holiday_Campaign_2024,Display_AG,Display_Creative,2024-06-02,Display,Connected_TV,App,Neustar,Lookalike_Purchasers,2079562,41238,1.98,3496,2936,560,8.48,73889.24,510260.14,6.91,35.53,1.79,21.14,1871605,2079562,90.0,0,0.0,1.55,1345408,1210867
Premium_Retail_2024,Holiday_Campaign_2024,Video_AG,Video_Creative,2024-06-02,Video,Connected_TV,App,Experian,Behavioral_Shoppers,2414683,39186,1.62,2156,1811,345,5.5,80508.8,310210.19,3.85,33.34,2.05,37.34,2173214,2414683,90.0,1448809,60.0,1.6,1507281,1356552
Premium_Retail_2024,Black_Friday_2024,Display_AG,Display_Creative,2024-06-02,Display,Mobile,App,Experian,Behavioral_Shoppers,1473348,24715,1.68,2220,1864,356,8.98,50396.49,393931.24,7.82,34.21,2.04,22.7,1326013,1473348,90.0,0,0.0,1.66,889043,800138
Premium_Retail_2024,Black_Friday_2024,Native_AG,Native_Creative,2024-06-02,Native,Connected_TV,CTV,Oracle,Behavioral_Shoppers,1395899,20134,1.44,1119,939,180,5.56,36311.93,181621.11,5.0,26.01,1.8,32.45,1256309,1395899,90.0,0,0.0,1.67,838030,754227
Premium_Retail_2024,Cyber_Monday_2024,Display_AG,Display_Creative,2024-06-02,Display,Mobile,App,Oracle,Contextual_Shopping,1271271,20197,1.59,1682,1412,270,8.33,38709.45,297599.76,7.69,30.45,1.92,23.01,1144143,1271271,90.0,0,0.0,1.5,849765,764788
Premium_Retail_2024,Cyber_Monday_2024,Video_AG,Video_Creative,2024-06-02,Video,Mobile,CTV,LiveRamp,High_Intent_Buyers,2752021,45443,1.65,3669,3081,588,8.07,90671.76,554111.47,6.11,32.95,2.0,24.71,2476818,2752021,90.0,1651212,60.0,1.68,1635810,1472229
Premium_Retail_2024,Summer_Sale_2024,Display_AG,Display_Creative,2024-06-02,Display,Connected_TV,Web,LiveRamp,Contextual_Shopping,1462001,25968,1.78,1644,1380,264,6.33,58658.85,289110.51,4.93,40.12,2.26,35.68,1315800,1462001,90.0,0,0.0,1.54,949248,854323
Premium_Retail_2024,Summer_Sale_2024,Native_AG,Native_Creative,2024-06-02,Native,Mobile,Web,Experian,Lookalike_Purchasers,2049884,31336,1.53,1860,1562,298,5.94,73589.77,358960.87,4.88,35.9,2.35,39.56,1844895,2049884,90.0,0,0.0,1.71,1199239,1079315
Premium_Retail_2024,Back_To_School_2024,Display_AG,Display_Creative,2024-06-02,Display,Connected_TV,Web,Neustar,High_Intent_Buyers,1423722,16933,1.19,885,743,142,5.23,36238.36,137759.13,3.8,25.45,2.14,40.95,1281349,1423722,90.0,0,0.0,1.5,947648,852883
Premium_Retail_2024,Back_To_School_2024,Video_AG,Video_Creative,2024-06-02,Video,Connected_TV,CTV,Neustar,Lookalike_Purchasers,2168359,40564,1.87,2256,1895,361,5.56,93279.74,343753.15,3.69,43.02,2.3,41.35,1951523,2168359,90.0,1301015,60.0,1.59,1362726,1226453
Premium_Retail_2024,Spring_Launch_2024,Display_AG,Display_Creative,2024-06-02,Display,Desktop,CTV,Experian,Lookalike_Purchasers,1673040,19797,1.18,1859,1561,298,9.39,36461.97,332373.14,9.12,21.79,1.84,19.61,1505736,1673040,90.0,0,0.0,1.57,1064595,958135
Premium_Retail_2024,Spring_Launch_2024,Native_AG,Native_Creative,2024-06-02,Native,Mobile,Web,Oracle,Contextual_Shopping,1834008,35724,1.95,2301,1932,369,6.44,64276.23,335372.98,5.22,35.05,1.8,27.93,1650607,1834008,90.0,0,0.0,1.7,1080306,972275
Premium_Retail_2024,Valentine_Day_2024,Video_AG,Video_Creative,2024-06-02,Video,Mobile,Web,LiveRamp,Contextual_Shopping,1866978,24510,1.31,1753,1472,281,7.15,54896.54,334720.32,6.1,29.4,2.24,31.32,1680280,1866978,90.0,1120186,60.0,1.55,1203941,1083546
Premium_Retail_2024,Valentine_Day_2024,Display_AG,Display_Creative,2024-06-02,Display,Mobile,CTV,Oracle,Contextual_Shopping,2365501,35194,1.49,2652,2227,425,7.54,80845.06,451914.73,5.59,34.18,2.3,30.48,2128950,2365501,90.0,0,0.0,1.62,1464057,1317651
Premium_Retail_2024,New_Year_2024,Native_AG,Native_Creative,2024-06-02,Native,Mobile,Web,Experian,Lookalike_Purchasers,2075023,33192,1.6,2159,1813,346,6.5,68095.66,396304.32,5.82,32.82,2.05,31.54,1867520,2075023,90.0,0,0.0,1.48,1401200,1261080
Premium_Retail_2024,New_Year_2024,Video_AG,Video_Creative,2024-06-02,Video,Mobile,CTV,LiveRamp,Contextual_Shopping,3339020,63947,1.92,4270,3586,684,6.68,137895.48,693276.43,5.03,41.3,2.16,32.29,3005118,3339020,90.0,2003412,60.0,1.78,1873206,1685885
Premium_Retail_2024,Q3_Promo_2024,Video_AG,Video_Creative,2024-06-02,Video,Connected_TV,CTV,Neustar,In_Market_Shoppers,3282935,38416,1.17,2157,1811,346,5.61,62030.8,315331.3,5.08,18.89,1.61,28.76,2954641,3282935,90.0,1969761,60.0,1.77,1855901,1670310
Premium_Retail_2024,Q3_Promo_2024,Native_AG,Native_Creative,2024-06-02,Native,Mobile,CTV,Experian,Contextual_Shopping,2190864,42488,1.94,3653,3068,585,8.6,89268.48,666359.01,7.46,40.75,2.1,24.44,1971777,2190864,90.0,0,0.0,1.63,1346535,1211881
Premium_Retail_2024,Flash_Sale_2024,Video_AG,Video_Creative,2024-06-02,Video,Connected_TV,Web,Neustar,In_Market_Shoppers,3460548,54036,1.56,2828,2375,453,5.23,116824.75,522244.04,4.47,33.76,2.16,41.31,3114493,3460548,90.0,2076328,60.0,1.71,2027354,1824618
Premium_Retail_2024,Flash_Sale_2024,Display_AG,Display_Creative,2024-06-02,Display,Mobile,Web,Experian,Behavioral_Shoppers,2574783,46015,1.79,3507,2945,562,7.62,106385.56,585229.82,5.5,41.32,2.31,30.34,2317304,2574783,90.0,0,0.0,1.56,1651424,1486281
Premium_Retail_2024,Holiday_Campaign_2024,Video_AG,Video_Creative,2024-06-03,Video,Connected_TV,Web,Neustar,Lookalike_Purchasers,1368119,27530,2.01,1852,1555,297,6.73,55930.63,322008.56,5.76,40.88,2.03,30.2,1231307,1368119,90.0,820871,60.0,1.7,806547,725892
Premium_Retail_2024,Holiday_Campaign_2024,Native_AG,Native_Creative,2024-06-03,Native,Connected_TV,CTV,Experian,Behavioral_Shoppers,2254491,36124,1.6,2274,1910,364,6.29,61559.72,420608.32,6.83,27.31,1.7,27.07,2029041,2254491,90.0,0,0.0,1.67,1348785,1213906
Premium_Retail_2024,Black_Friday_2024,Video_AG,Video_Creative,2024-06-03,Video,Connected_TV,Web,Oracle,Lookalike_Purchasers,2012366,33109,1.65,2913,2446,467,8.8,56691.09,507875.95,8.96,28.17,1.71,19.46,1811129,2012366,90.0,1207419,60.0,1.66,1210505,1089454
Premium_Retail_2024,Black_Friday_2024,Native_AG,Native_Creative,2024-06-03,Native,Mobile,Web,Experian,Contextual_Shopping,3649420,64037,1.75,3679,3090,589,5.75,117671.18,532066.11,4.52,32.24,1.84,31.98,3284478,3649420,90.0,0,0.0,1.53,2385077,2146569
Premium_Retail_2024,Cyber_Monday_2024,Display_AG,Display_Creative,2024-06-03,Display,Connected_TV,App,Oracle,Contextual_Shopping,2193439,25591,1.17,1322,1110,212,5.17,60508.32,245571.75,4.06,27.59,2.36,45.77,1974095,2193439,90.0,0,0.0,1.67,1314902,1183411
Premium_Retail_2024,Cyber_Monday_2024,Video_AG,Video_Creative,2024-06-03,Video,Desktop,Web,Neustar,Behavioral_Shoppers,2131734,35661,1.67,2627,2206,421,7.37,65844.47,426847.61,6.48,30.89,1.85,25.06,1918560,2131734,90.0,1279040,60.0,1.72,1237396,1113656
Premium_Retail_2024,Summer_Sale_2024,Native_AG,Native_Creative,2024-06-03,Native,Mobile,Web,Neustar,Contextual_Shopping,1952637,24769,1.27,1279,1074,205,5.16,48211.73,225243.41,4.67,24.69,1.95,37.69,1757373,1952637,90.0,0,0.0,1.72,1133381,1020042
Premium_Retail_2024,Summer_Sale_2024,Display_AG,Display_Creative,2024-06-03,Display,Desktop,Web,LiveRamp,Behavioral_Shoppers,1575676,22563,1.43,1271,1067,204,5.63,38403.82,221094.26,5.76,24.37,1.7,30.22,1418108,1575676,90.0,0,0.0,1.75,902225,812002
Premium_Retail_2024,Back_To_School_2024,Native_AG,Native_Creative,2024-06-03,Native,Desktop,App,LiveRamp,In_Market_Shoppers,1582961,20625,1.3,1836,1542,294,8.9,33824.67,297999.63,8.81,21.37,1.64,18.42,1424664,1582961,90.0,0,0.0,1.53,1032766,929489
Premium_Retail_2024,Back_To_School_2024,Video_AG,Video_Creative,2024-06-03,Video,Mobile,App,Experian,High_Intent_Buyers,2285804,28777,1.26,1718,1443,275,5.97,58620.53,304578.03,5.2,25.65,2.04,34.12,2057223,2285804,90.0,1371482,60.0,1.54,1488705,1339834
Premium_Retail_2024,Spring_Launch_2024,Display_AG,Display_Creative,2024-06-03,Display,Desktop,Web,Experian,Lookalike_Purchasers,1287824,24105,1.87,1696,1424,272,7.04,49378.78,279220.8,5.65,38.34,2.05,29.11,1159041,1287824,90.0,0,0.0,1.53,840121,756108
Premium_Retail_2024,Spring_Launch_2024,Video_AG,Video_Creative,2024-06-03,Video,Connected_TV,Web,LiveRamp,In_Market_Shoppers,1505585,20510,1.36,1799,1511,288,8.77,44537.75,323554.82,7.26,29.58,2.17,24.76,1355026,1505585,90.0,903351,60.0,1.75,858622,772759
Premium_Retail_2024,Valentine_Day_2024,Video_AG,Video_Creative,2024-06-03,Video,Mobile,App,Experian,Contextual_Shopping,1215157,20193,1.66,1721,1445,276,8.52,39129.7,292659.09,7.48,32.2,1.94,22.74,1093641,1215157,90.0,729094,60.0,1.7,713969,642572
Premium_Retail_2024,Valentine_Day_2024,Native_AG,Native_Creative,2024-06-03,Native,Connected_TV,CTV,Experian,In_Market_Shoppers,2453518,49004,2.0,3500,2940,560,7.14,95547.99,557705.88,5.84,38.94,1.95,27.3,2208166,2453518,90.0,0,0.0,1.69,1450240,1305216
Premium_Retail_2024,New_Year_2024,Video_AG,Video_Creative,2024-06-03,Video,Desktop,CTV,Experian,Behavioral_Shoppers,2197301,28169,1.28,2166,1819,347,7.69,57719.81,385073.47,6.67,26.27,2.05,26.65,1977570,2197301,90.0,1318380,60.0,1.71,1287601,1158840
Premium_Retail_2024,New_Year_2024,Native_AG,Native_Creative,2024-06-03,Native,Connected_TV,Web,Neustar,Behavioral_Shoppers,2968113,33725,1.14,2512,2110,402,7.45,76733.06,450857.16,5.88,25.85,2.28,30.55,2671301,2968113,90.0,0,0.0,1.51,1969352,1772416
Premium_Retail_2024,Q3_Promo_2024,Video_AG,Video_Creative,2024-06-03,Video,Mobile,App,Oracle,Contextual_Shopping,2195494,39741,1.81,2847,2391,456,7.16,73859.97,457599.61,6.2,33.64,1.86,25.94,1975944,2195494,90.0,1317296,60.0,1.75,1252838,1127554
Premium_Retail_2024,Q3_Promo_2024,Display_AG,Display_Creative,2024-06-03,Display,Connected_TV,CTV,Oracle,In_Market_Shoppers,1579725,27275,1.73,1576,1323,253,5.78,55514.95,235352.55,4.24,35.14,2.04,35.23,1421752,1579725,90.0,0,0.0,1.68,942866,848579
Premium_Retail_2024,Flash_Sale_2024,Video_AG,Video_Creative,2024-06-03,Video,Mobile,App,Experian,High_Intent_Buyers,1919144,32936,1.72,1700,1428,272,5.16,59567.65,265610.55,4.46,31.04,1.81,35.04,1727229,1919144,90.0,1151486,60.0,1.54,1248971,1124073
Premium_Retail_2024,Flash_Sale_2024,Native_AG,Native_Creative,2024-06-03,Native,Desktop,App,Oracle,Lookalike_Purchasers,1795186,29984,1.67,1859,1561,298,6.2,61110.46,279444.58,4.57,34.04,2.04,32.87,1615667,1795186,90.0,0,0.0,1.47,1222616,1100354
Premium_Retail_2024,Holiday_Campaign_2024,Display_AG,Display_Creative,2024-06-04,Display,Connected_TV,App,Oracle,In_Market_Shoppers,1933169,37971,1.96,2116,1777,339,5.57,78688.69,373729.84,4.75,40.7,2.07,37.19,1739852,1933169,90.0,0,0.0,1.52,1267830,1141047
Premium_Retail_2024,Holiday_Campaign_2024,Video_AG,Video_Creative,2024-06-04,Video,Desktop,App,LiveRamp,High_Intent_Buyers,1430655,16518,1.15,1033,867,166,6.25,30136.92,164091.2,5.44,21.07,1.82,29.17,1287589,1430655,90.0,858393,60.0,1.76,814662,733195
Premium_Retail_2024,Black_Friday_2024,Native_AG,Native_Creative,2024-06-04,Native,Mobile,App,Neustar,Behavioral_Shoppers,1678843,27178,1.62,2265,1902,363,8.33,48487.82,402644.03,8.3,28.88,1.78,21.41,1510958,1678843,90.0,0,0.0,1.54,1088996,980096
Premium_Retail_2024,Black_Friday_2024,Video_AG,Video_Creative,2024-06-04,Video,Connected_TV,Web,Oracle,Lookalike_Purchasers,1693413,27501,1.62,1783,1497,286,6.48,52256.82,307551.3,5.89,30.86,1.9,29.31,1524071,1693413,90.0,1016047,60.0,1.66,1020921,918828
Premium_Retail_2024,Cyber_Monday_2024,Display_AG,Display_Creative,2024-06-04,Display,Mobile,App,Neustar,Behavioral_Shoppers,1622276,29752,1.83,2777,2332,445,9.33,68811.81,524549.53,7.62,42.42,2.31,24.78,1460048,1622276,90.0,0,0.0,1.49,1088532,979678
Premium_Retail_2024,Cyber_Monday_2024,Video_AG,Video_Creative,2024-06-04,Video,Mobile,App,Oracle,Lookalike_Purchasers,1161860,23568,2.03,1433,1203,230,6.08,54003.06,246600.16,4.57,46.48,2.29,37.69,1045674,1161860,90.0,697116,60.0,1.51,769149,692234
Premium_Retail_2024,Summer_Sale_2024,Native_AG,Native_Creative,2024-06-04,Native,Mobile,App,Oracle,High_Intent_Buyers,3165482,62064,1.96,5391,4528,863,8.69,109555.62,1003476.94,9.16,34.61,1.77,20.32,2848933,3165482,90.0,0,0.0,1.73,1831401,1648260
Premium_Retail_2024,Summer_Sale_2024,Display_AG,Display_Creative,2024-06-04,Display,Desktop,CTV,Oracle,Lookalike_Purchasers,1821334,29182,1.6,2154,1809,345,7.38,63573.48,350585.24,5.51,34.9,2.18,29.51,1639200,1821334,90.0,0,0.0,1.63,1119435,1007491
Premium_Retail_2024,Back_To_School_2024,Display_AG,Display_Creative,2024-06-04,Display,Desktop,App,LiveRamp,In_Market_Shoppers,3013160,53485,1.78,3758,3156,602,7.03,87807.13,585714.18,6.67,29.14,1.64,23.37,2711844,3013160,90.0,0,0.0,1.48,2034057,1830651
Premium_Retail_2024,Back_To_School_2024,Native_AG,Native_Creative,2024-06-04,Native,Mobile,App,Oracle,High_Intent_Buyers,2924748,50997,1.74,3019,2535,484,5.92,85499.89,575590.8,6.73,29.23,1.68,28.32,2632273,2924748,90.0,0,0.0,1.5,1948680,1753812
Premium_Retail_2024,Spring_Launch_2024,Native_AG,Native_Creative,2024-06-04,Native,Mobile,App,Experian,In_Market_Shoppers,1549228,26715,1.72,2434,2044,390,9.11,45696.63,425627.81,9.31,29.5,1.71,18.77,1394305,1549228,90.0,0,0.0,1.49,1041106,936995
Premium_Retail_2024,Spring_Launch_2024,Display_AG,Display_Creative,2024-06-04,Display,Connected_TV,Web,LiveRamp,High_Intent_Buyers,2269629,31675,1.4,2939,2468,471,9.28,55828.15,450584.26,8.07,24.6,1.76,19.0,2042666,2269629,90.0,0,0.0,1.75,1293641,1164276
Premium_Retail_2024,Valentine_Day_2024,Native_AG,Native_Creative,2024-06-04,Native,Connected_TV,App,LiveRamp,High_Intent_Buyers,1912753,35408,1.85,2237,1879,358,6.32,81272.12,416134.13,5.12,42.49,2.3,36.33,1721477,1912753,90.0,0,0.0,1.75,1094943,985448
Premium_Retail_2024,Valentine_Day_2024,Video_AG,Video_Creative,2024-06-04,Video,Mobile,Web,Oracle,Contextual_Shopping,2316274,42385,1.83,3433,2883,550,8.1,71331.25,545901.65,7.65,30.8,1.68,20.78,2084646,2316274,90.0,1389764,60.0,1.58,1468251,1321425
Premium_Retail_2024,New_Year_2024,Native_AG,Native_Creative,2024-06-04,Native,Connected_TV,App,Experian,High_Intent_Buyers,1274424,24232,1.9,1297,1089,208,5.35,48083.21,240706.36,5.01,37.73,1.98,37.07,1146981,1274424,90.0,0,0.0,1.47,868155,781339
Premium_Retail_2024,New_Year_2024,Video_AG,Video_Creative,2024-06-04,Video,Mobile,App,LiveRamp,Lookalike_Purchasers,1431005,24900,1.74,1273,1069,204,5.11,46802.63,210319.29,4.49,32.71,1.88,36.77,1287904,1431005,90.0,858603,60.0,1.66,859872,773884
Premium_Retail_2024,Q3_Promo_2024,Video_AG,Video_Creative,2024-06-04,Video,Mobile,CTV,Neustar,Behavioral_Shoppers,1670419,18955,1.13,1722,1446,276,9.08,35158.14,258951.31,7.37,21.05,1.85,20.42,1503377,1670419,90.0,1002251,60.0,1.63,1021821,919638
Premium_Retail_2024,Q3_Promo_2024,Display_AG,Display_Creative,2024-06-04,Display,Desktop,App,Neustar,High_Intent_Buyers,2065992,24170,1.17,2081,1748,333,8.61,52931.2,350845.13,6.63,25.62,2.19,25.44,1859392,2065992,90.0,0,0.0,1.72,1200464,1080417
Premium_Retail_2024,Flash_Sale_2024,Display_AG,Display_Creative,2024-06-04,Display,Desktop,Web,Oracle,High_Intent_Buyers,2710252,51018,1.88,3129,2628,501,6.13,111667.64,462806.62,4.14,41.2,2.19,35.69,2439226,2710252,90.0,0,0.0,1.75,1552126,1396913
Premium_Retail_2024,Flash_Sale_2024,Native_AG,Native_Creative,2024-06-04,Native,Mobile,CTV,Oracle,High_Intent_Buyers,1842595,33049,1.79,3016,2533,483,9.13,78550.56,535859.37,6.82,42.63,2.38,26.04,1658335,1842595,90.0,0,0.0,1.53,1207115,1086403
Premium_Retail_2024,Holiday_Campaign_2024,Display_AG,Display_Creative,2024-06-05,Display,Desktop,App,Oracle,Lookalike_Purchasers,2643067,31021,1.17,1755,1474,281,5.66,73725.37,285375.73,3.87,27.89,2.38,42.01,2378760,2643067,90.0,0,0.0,1.53,1727804,1555023
Premium_Retail_2024,Holiday_Campaign_2024,Native_AG,Native_Creative,2024-06-05,Native,Mobile,App,Neustar,Lookalike_Purchasers,2186677,35677,1.63,2061,1731,330,5.78,80165.58,311768.45,3.89,36.66,2.25,38.9,1968009,2186677,90.0,0,0.0,1.55,1411579,1270421
Premium_Retail_2024,Black_Friday_2024,Video_AG,Video_Creative,2024-06-05,Video,Mobile,CTV,LiveRamp,Contextual_Shopping,1688547,32182,1.91,2353,1976,377,7.31,62109.38,375947.8,6.05,36.78,1.93,26.4,1519692,1688547,90.0,1013128,60.0,1.55,1086205,977584
Premium_Retail_2024,Black_Friday_2024,Native_AG,Native_Creative,2024-06-05,Native,Mobile,App,Oracle,Contextual_Shopping,2005888,38953,1.94,3289,2762,527,8.44,73946.76,631727.31,8.54,36.86,1.9,22.48,1805299,2005888,90.0,0,0.0,1.51,1326244,1193619
Premium_Retail_2024,Cyber_Monday_2024,Native_AG,Native_Creative,2024-06-05,Native,Mobile,CTV,Experian,In_Market_Shoppers,1248794,24629,1.97,1365,1146,219,5.54,52993.17,203957.91,3.85,42.44,2.15,38.82,1123914,1248794,90.0,0,0.0,1.47,847949,763154
Premium_Retail_2024,Cyber_Monday_2024,Video_AG,Video_Creative,2024-06-05,Video,Mobile,Web,LiveRamp,Lookalike_Purchasers,1117295,15010,1.34,1115,936,179,7.43,31028.22,188045.74,6.06,27.77,2.07,27.83,1005565,1117295,90.0,670377,60.0,1.54,725987,653388
Premium_Retail_2024,Summer_Sale_2024,Display_AG,Display_Creative,2024-06-05,Display,Mobile,CTV,Experian,High_Intent_Buyers,1878221,31202,1.66,2434,2044,390,7.8,55142.04,428433.88,7.77,29.36,1.77,22.65,1690398,1878221,90.0,0,0.0,1.56,1200359,1080323
Premium_Retail_2024,Summer_Sale_2024,Video_AG,Video_Creative,2024-06-05,Video,Connected_TV,Web,Experian,Behavioral_Shoppers,1791069,24518,1.37,1700,1428,272,6.93,44572.68,308710.02,6.93,24.89,1.82,26.22,1611962,1791069,90.0,1074641,60.0,1.58,1136802,1023121
Premium_Retail_2024,Back_To_School_2024,Display_AG,Display_Creative,2024-06-05,Display,Connected_TV,App,Neustar,High_Intent_Buyers,1398074,23276,1.66,2110,1772,338,9.07,52748.97,396082.28,7.51,37.73,2.27,25.0,1258266,1398074,90.0,0,0.0,1.49,939098,845188
Premium_Retail_2024,Back_To_School_2024,Video_AG,Video_Creative,2024-06-05,Video,Connected_TV,Web,LiveRamp,In_Market_Shoppers,1489094,26965,1.81,2138,1795,343,7.93,43864.29,389162.08,8.87,29.46,1.63,20.52,1340184,1489094,90.0,893456,60.0,1.71,869172,782254
Premium_Retail_2024,Spring_Launch_2024,Native_AG,Native_Creative,2024-06-05,Native,Connected_TV,CTV,LiveRamp,Behavioral_Shoppers,2754342,52934,1.92,4487,3769,718,8.48,114201.27,747050.12,6.54,41.46,2.16,25.45,2478907,2754342,90.0,0,0.0,1.52,1809417,1628475
