Date,Platform,Campaign_Name,Ad_Group,Impressions,Clicks,Spend_USD,Conversions,Revenue_USD
2024-09-12,Meta Ads,Meta Q4 Launch,Meta_Brand,93591,3962,2555.74,115,15259.16
2024-09-12,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Prospect,84387,3788,1725.07,205,6892.52
2024-09-12,YouTube,YouTube Q4 Launch,YouTube_Remarketing,91284,3148,2144.05,212,23237.95
2024-09-12,Snapchat,Snapchat Q4 Launch,Snapchat_Prospect,66299,1147,4603.19,109,16787.72
2024-09-13,Google Ads,Google Q4 Launch,Google_Remarketing,14093,1288,3783.41,202,6920.78
2024-09-13,Meta Ads,Meta Q4 Launch,Meta_Remarketing,103856,881,391.97,108,10853.98
2024-09-13,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Remarketing,94357,595,2753.56,237,9032.15
2024-09-13,YouTube,YouTube Q4 Launch,YouTube_Remarketing,55847,3913,2821.39,20,19266.8
2024-09-13,Snapchat,Snapchat Q4 Launch,Snapchat_Brand,143286,1123,816.79,188,23956.63
2024-09-14,Google Ads,Google Q4 Launch,Google_Prospect,19210,936,1339.28,87,8828.34
2024-09-14,Meta Ads,Meta Q4 Launch,Meta_Prospect,108040,3484,3451.66,128,12670.49
2024-09-14,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Brand,120529,3337,4197.92,180,11645.37
2024-09-14,YouTube,YouTube Q4 Launch,YouTube_Brand,16356,1484,2169.05,173,21917.85
2024-09-14,Snapchat,Snapchat Q4 Launch,Snapchat_Remarketing,83730,3853,3102.57,229,21879.42
2024-09-15,Google Ads,Google Q4 Launch,Google_Remarketing,27047,2672,443.61,132,6821.91
2024-09-15,Meta Ads,Meta Q4 Launch,Meta_Brand,136438,2513,1936.56,21,24585.32
2024-09-15,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Brand,111284,546,3177.21,217,14237.16
2024-09-15,YouTube,YouTube Q4 Launch,YouTube_Prospect,55477,1141,953.26,182,20839.67
2024-09-15,Snapchat,Snapchat Q4 Launch,Snapchat_Brand,61976,462,3198.9,234,21444.86
2024-09-16,Google Ads,Google Q4 Launch,Google_Prospect,133278,2143,860.12,94,15616.07
2024-09-16,Meta Ads,Meta Q4 Launch,Meta_Brand,105306,1216,654.01,163,17908.98
2024-09-16,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Remarketing,111546,1382,3560.48,58,24776.5
2024-09-16,YouTube,YouTube Q4 Launch,YouTube_Remarketing,42499,4000,4296.7,16,15293.15
2024-09-16,Snapchat,Snapchat Q4 Launch,Snapchat_Brand,30734,293,631.45,71,21494.8
2024-09-17,Google Ads,Google Q4 Launch,Google_Prospect,47840,2521,4310.26,66,10208.68
2024-09-17,Meta Ads,Meta Q4 Launch,Meta_Remarketing,118693,2526,2219.17,121,24824.58
2024-09-17,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Brand,147868,2115,466.73,157,20760.64
2024-09-17,YouTube,YouTube Q4 Launch,YouTube_Remarketing,138856,692,888.9,125,16338.01
2024-09-17,Snapchat,Snapchat Q4 Launch,Snapchat_Remarketing,13450,848,3541.81,249,2098.2
2024-09-18,Google Ads,Google Q4 Launch,Google_Brand,33732,1097,1666.85,236,12416.81
2024-09-18,Meta Ads,Meta Q4 Launch,Meta_Prospect,34862,2945,1322.03,150,8824.72
2024-09-18,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Prospect,77988,3075,4157.83,115,18577.31
2024-09-18,YouTube,YouTube Q4 Launch,YouTube_Remarketing,140087,1147,544.86,246,6188.04
2024-09-18,Snapchat,Snapchat Q4 Launch,Snapchat_Prospect,85254,612,219.09,116,15901.41
2024-09-19,Google Ads,Google Q4 Launch,Google_Brand,69812,3318,4632.19,106,20025.04
2024-09-19,Meta Ads,Meta Q4 Launch,Meta_Remarketing,81264,681,783.07,63,13768.48
2024-09-19,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Prospect,41380,3106,3398.02,170,24066.98
2024-09-19,YouTube,YouTube Q4 Launch,YouTube_Remarketing,34238,1724,3937.7,184,12765.21
2024-09-19,Snapchat,Snapchat Q4 Launch,Snapchat_Prospect,55506,3314,2638.39,35,10665.63
2024-09-20,Google Ads,Google Q4 Launch,Google_Remarketing,72650,2585,3587.36,193,1934.32
2024-09-20,Meta Ads,Meta Q4 Launch,Meta_Remarketing,126721,1392,1822.97,59,2332.49
2024-09-20,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Brand,149645,3095,2186.38,202,13979.1
2024-09-20,YouTube,YouTube Q4 Launch,YouTube_Remarketing,93429,2772,324.62,30,18743.21
2024-09-20,Snapchat,Snapchat Q4 Launch,Snapchat_Remarketing,23968,332,1594.4,115,3094.43
2024-09-21,Google Ads,Google Q4 Launch,Google_Remarketing,46516,3947,3643.4,105,8376.02
2024-09-21,Meta Ads,Meta Q4 Launch,Meta_Prospect,133679,2105,1358.6,32,23567.13
2024-09-21,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Remarketing,8946,1883,627.46,138,8841.58
2024-09-21,YouTube,YouTube Q4 Launch,YouTube_Prospect,31451,1488,1111.15,15,16912.39
2024-09-21,Snapchat,Snapchat Q4 Launch,Snapchat_Remarketing,111261,2498,600.04,199,5387.68
2024-09-22,Google Ads,Google Q4 Launch,Google_Prospect,70209,1484,3144.91,241,24162.9
2024-09-22,Meta Ads,Meta Q4 Launch,Meta_Remarketing,129251,3785,1749.97,27,10242.52
2024-09-22,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Brand,42936,1384,3984.96,238,1861.65
2024-09-22,YouTube,YouTube Q4 Launch,YouTube_Prospect,62725,2543,1224.37,203,24971.21
2024-09-22,Snapchat,Snapchat Q4 Launch,Snapchat_Prospect,26830,3860,3010.27,217,24657.88
2024-09-23,Google Ads,Google Q4 Launch,Google_Remarketing,136674,681,1518.25,180,2513.65
2024-09-23,Meta Ads,Meta Q4 Launch,Meta_Prospect,44364,1192,620.07,238,8940.78
2024-09-23,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Remarketing,90727,1094,682.54,126,17446.12
2024-09-23,YouTube,YouTube Q4 Launch,YouTube_Remarketing,149984,2487,4583.89,74,20071.85
2024-09-23,Snapchat,Snapchat Q4 Launch,Snapchat_Remarketing,72461,3764,4454.85,148,23934.23
2024-09-24,Google Ads,Google Q4 Launch,Google_Prospect,90456,3506,4241.39,24,2836.45
2024-09-24,Meta Ads,Meta Q4 Launch,Meta_Remarketing,115569,3556,3788.36,117,3024.88
2024-09-24,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Remarketing,56466,2621,1044.47,12,3003.96
2024-09-24,YouTube,YouTube Q4 Launch,YouTube_Prospect,121767,2580,3696.68,39,4505.64
2024-09-24,Snapchat,Snapchat Q4 Launch,Snapchat_Prospect,132480,1369,490.99,237,20077.53
2024-09-25,Google Ads,Google Q4 Launch,Google_Remarketing,149432,3958,2704.9,101,12211.45
2024-09-25,Meta Ads,Meta Q4 Launch,Meta_Brand,78060,466,1154.51,228,7871.12
2024-09-25,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Brand,46859,674,1498.28,220,19121.14
2024-09-25,YouTube,YouTube Q4 Launch,YouTube_Remarketing,89359,1416,3026.66,95,7891.74
2024-09-25,Snapchat,Snapchat Q4 Launch,Snapchat_Prospect,67051,1544,3827.58,126,22567.58
2024-09-26,Google Ads,Google Q4 Launch,Google_Prospect,7897,1676,2764.23,91,6006.15
2024-09-26,Meta Ads,Meta Q4 Launch,Meta_Brand,127820,3619,4569.0,131,18501.53
2024-09-26,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Brand,114508,2573,1004.43,183,3132.03
2024-09-26,YouTube,YouTube Q4 Launch,YouTube_Brand,67494,1694,3352.29,76,2284.85
2024-09-26,Snapchat,Snapchat Q4 Launch,Snapchat_Brand,68541,2545,340.67,178,5421.5
2024-09-27,Google Ads,Google Q4 Launch,Google_Prospect,137879,2628,3123.03,160,15583.94
2024-09-27,Meta Ads,Meta Q4 Launch,Meta_Remarketing,23788,1073,1793.77,163,10575.94
2024-09-27,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Remarketing,112787,2603,3135.67,116,17510.82
2024-09-27,YouTube,YouTube Q4 Launch,YouTube_Prospect,65230,1963,3805.54,239,16685.44
2024-09-27,Snapchat,Snapchat Q4 Launch,Snapchat_Remarketing,142805,855,3850.35,229,6648.64
2024-09-28,Google Ads,Google Q4 Launch,Google_Remarketing,33699,1919,4256.78,192,15551.93
2024-09-28,Meta Ads,Meta Q4 Launch,Meta_Prospect,12335,3468,2399.14,36,8891.12
2024-09-28,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Remarketing,41204,3956,340.96,13,7464.52
2024-09-28,YouTube,YouTube Q4 Launch,YouTube_Brand,33397,1636,3405.5,97,19732.69
2024-09-28,Snapchat,Snapchat Q4 Launch,Snapchat_Brand,74517,3163,1279.06,158,3272.42
2024-09-29,Google Ads,Google Q4 Launch,Google_Brand,149848,3550,253.17,24,6476.95
2024-09-29,Meta Ads,Meta Q4 Launch,Meta_Remarketing,136697,1400,3326.17,224,13893.47
2024-09-29,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Prospect,147560,1186,2070.1,118,7775.09
2024-09-29,YouTube,YouTube Q4 Launch,YouTube_Prospect,76834,1528,448.74,97,16789.98
2024-09-29,Snapchat,Snapchat Q4 Launch,Snapchat_Prospect,87715,2564,1006.46,153,21551.79
2024-09-30,Google Ads,Google Q4 Launch,Google_Brand,71840,3825,377.67,9,18806.07
2024-09-30,Meta Ads,Meta Q4 Launch,Meta_Brand,48144,545,1946.55,29,2382.86
2024-09-30,LinkedIn Ads,LinkedIn Q4 Launch,LinkedIn_Brand,103579,3470,922.71,122,21952.22
2024-09-30,YouTube,YouTube Q4 Launch,YouTube_Remarketing,103032,3030,4386.22,170,17565.38
2024-09-30,Snapchat,Snapchat Q4 Launch,Snapchat_Prospect,26800,2778,1577.72,153,23185.56
